#Speed,Bearing,time,lat,lng
0.0,0.0,1,23.564355,87.28303
0.0,0.0,2,23.564355,87.28303
0.0,0.0,3,23.564355,87.28303
0.0,0.0,4,23.564355,87.28303
0.0,0.0,5,23.564355,87.28303
0.0,0.0,6,23.564355,87.28303
0.0,0.0,7,23.564355,87.28303
0.0,0.0,8,23.564355,87.28303
0.0,0.0,9,23.564355,87.28303
0.0,0.0,10,23.564355,87.28303
0.0,0.0,11,23.564355,87.28303
0.0,0.0,12,23.564355,87.28303
0.0,0.0,13,23.564355,87.28303
0.0,0.0,14,23.564355,87.28303
0.0,0.0,15,23.564355,87.28303
0.0,0.0,16,23.564355,87.28303
0.0,0.0,17,23.564355,87.28303
0.0,0.0,18,23.564355,87.28303
0.0,0.0,19,23.564355,87.28303
0.0,0.0,20,23.564355,87.28303
0.0,0.0,21,23.564355,87.28303
0.0,0.0,22,23.564355,87.28303
0.0,0.0,23,23.564355,87.28303
0.0,0.0,24,23.564355,87.28303
0.0,0.0,25,23.564355,87.28303
0.0,0.0,26,23.564355,87.28303
0.0,0.0,27,23.564355,87.28303
0.0,0.0,28,23.564355,87.28303
0.0,0.0,29,23.564355,87.28303
0.0,0.0,30,23.564355,87.28303
0.0,0.0,31,23.564355,87.28303
0.0,0.0,32,23.564355,87.28303
0.0,0.0,33,23.564355,87.28303
0.0,0.0,34,23.564355,87.28303
0.0,0.0,35,23.564355,87.28303
0.0,0.0,36,23.564355,87.28303
0.0,0.0,37,23.564355,87.28303
0.0,0.0,38,23.564355,87.28303
0.0,0.0,39,23.564355,87.28303
0.0,0.0,40,23.564355,87.28303
0.0,0.0,41,23.564355,87.28303
0.0,0.0,42,23.564355,87.28303
0.0,0.0,43,23.564355,87.28303
0.0,0.0,44,23.564355,87.28303
0.0,0.0,45,23.564355,87.28303
0.0,0.0,46,23.564355,87.28303
0.0,0.0,47,23.564355,87.28303
0.0,0.0,48,23.564355,87.28303
0.0,0.0,49,23.564355,87.28303
0.0,0.0,50,23.564355,87.28303
0.0,0.0,51,23.564355,87.28303
0.0,0.0,52,23.564355,87.28303
0.0,0.0,53,23.564355,87.28303
0.0,0.0,54,23.564355,87.28303
0.0,0.0,55,23.564355,87.28303
0.0,0.0,56,23.564355,87.28303
0.0,0.0,57,23.564355,87.28303
0.0,0.0,58,23.564355,87.28303
0.0,0.0,59,23.564355,87.28303
0.0,0.0,60,23.564355,87.28303
0.0,0.0,61,23.564355,87.28303
0.0,0.0,62,23.564355,87.28303
0.0,0.0,63,23.564355,87.28303
0.0,0.0,64,23.564355,87.28303
0.0,0.0,65,23.564355,87.28303
0.0,0.0,66,23.564355,87.28303
0.0,0.0,67,23.564355,87.28303
0.0,0.0,68,23.564355,87.28303
0.0,0.0,69,23.564355,87.28303
0.0,0.0,70,23.564355,87.28303
0.0,0.0,71,23.564355,87.28303
0.0,0.0,72,23.564355,87.28303
0.0,0.0,73,23.564355,87.28303
0.0,0.0,74,23.564355,87.28303
0.0,0.0,75,23.564355,87.28303
0.0,0.0,76,23.564355,87.28303
0.0,0.0,77,23.564355,87.28303
0.0,0.0,78,23.564355,87.28303
0.0,0.0,79,23.564355,87.28303
0.0,0.0,80,23.564355,87.28303
0.0,0.0,81,23.564355,87.28303
0.0,0.0,82,23.564355,87.28303
0.0,0.0,83,23.564355,87.28303
0.0,0.0,84,23.564355,87.28303
0.0,0.0,85,23.564355,87.28303
0.0,0.0,86,23.564355,87.28303
0.0,0.0,87,23.564355,87.28303
0.0,0.0,88,23.564355,87.28303
