Latitude,Longitude,Wait time,Trail_no
23.5274733333,87.3112016667,21,april4th3
23.5281916667,87.3111633333,40,april4th5
23.5281966667,87.311175,17,april4th7
23.527225,87.3111683333,17,april5th1
23.5281733333,87.311165,3,april5th3
23.5281216667,87.31115,26,april5th5
23.5281133333,87.3111316667,11,april5th7
23.527185,87.3111733333,35,april5th9
23.5273716667,87.3111516667,48,june033
23.52715,87.3111083333,27,june041
23.5273133333,87.3111333333,68,june043
23.528215,87.3111683333,11,june045
23.528225,87.311165,16,june047
23.52824,87.31117,11,june049
23.52811,87.3111616667,7,june051
23.528125,87.311155,18,june053
23.528235,87.3112266667,28,june055
23.5281883333,87.3111766667,9,june057
23.528175,87.31112,10,june3
23.5282033333,87.31115,13,june5
23.5281866667,87.311195,4,june7
